epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3028,1.58704,2.74592,1.30062,0.79057,0.16792,0.15587,0.08947,1.37264,1.39612,1.17845,0.000184189,0.000184189,0.000184189
2,47.9397,1.33945,1.34582,1.17381,0.85986,0.22019,0.23363,0.14143,1.26529,1.12421,1.12373,0.000357328,0.000357328,0.000357328
3,67.4406,1.27265,1.21112,1.14129,0.7618,0.25874,0.25953,0.16336,1.19597,1.03218,1.09544,0.000518235,0.000518235,0.000518235
4,87.0968,1.23945,1.14868,1.12668,0.75601,0.29578,0.27792,0.17459,1.15993,0.98179,1.08646,0.000500956,0.000500956,0.000500956
5,106.559,1.21164,1.10904,1.11194,0.50448,0.32987,0.31507,0.19499,1.16506,0.98438,1.07614,0.000482608,0.000482608,0.000482608
6,126.16,1.20196,1.07947,1.10228,0.76394,0.28834,0.30567,0.19451,1.14662,0.96477,1.07298,0.00046426,0.00046426,0.00046426
7,145.494,1.18604,1.04545,1.09067,0.69446,0.36966,0.32254,0.20341,1.16194,0.95292,1.06606,0.000445912,0.000445912,0.000445912
8,164.935,1.176,1.0298,1.08909,0.75224,0.33207,0.33457,0.21539,1.13262,0.92885,1.05984,0.000427564,0.000427564,0.000427564
9,184.36,1.16125,1.01075,1.08212,0.71515,0.32199,0.34882,0.22445,1.12032,0.90959,1.05183,0.000409216,0.000409216,0.000409216
10,203.432,1.15373,0.99013,1.07663,0.7284,0.35773,0.35556,0.23616,1.1236,0.9027,1.05362,0.000390868,0.000390868,0.000390868
11,222.461,1.1483,0.98156,1.07457,0.75893,0.37582,0.36744,0.2443,1.10965,0.89974,1.04452,0.00037252,0.00037252,0.00037252
12,241.339,1.13727,0.96146,1.07112,0.76215,0.37642,0.376,0.25173,1.10908,0.8931,1.04082,0.000354172,0.000354172,0.000354172
13,260.454,1.12749,0.95283,1.06372,0.68672,0.3886,0.40138,0.26813,1.09149,0.87978,1.04909,0.000335824,0.000335824,0.000335824
14,279.545,1.12573,0.94119,1.06174,0.65421,0.42037,0.40764,0.27918,1.09689,0.87299,1.04524,0.000317476,0.000317476,0.000317476
15,298.528,1.11451,0.92963,1.0573,0.70098,0.4005,0.42985,0.29507,1.1017,0.87148,1.04273,0.000299128,0.000299128,0.000299128
16,317.534,1.10636,0.91272,1.05813,0.78433,0.3596,0.43418,0.29937,1.08785,0.85758,1.0425,0.00028078,0.00028078,0.00028078
17,336.634,1.11037,0.91467,1.05705,0.65258,0.41173,0.43825,0.30223,1.08667,0.84767,1.0385,0.000262432,0.000262432,0.000262432
18,355.702,1.10196,0.9049,1.05535,0.67099,0.41325,0.43797,0.30564,1.07694,0.83701,1.03439,0.000244084,0.000244084,0.000244084
19,374.8,1.09921,0.89373,1.04868,0.67462,0.49118,0.45029,0.30723,1.07882,0.83572,1.03521,0.000225736,0.000225736,0.000225736
20,394.045,1.09128,0.88883,1.04745,0.72754,0.42444,0.46179,0.31716,1.08131,0.83064,1.03425,0.000207388,0.000207388,0.000207388
21,413.822,1.07379,0.88185,1.04474,0.73409,0.39463,0.46231,0.3153,1.07849,0.84061,1.03492,0.00018904,0.00018904,0.00018904
22,432.619,1.05715,0.84582,1.0343,0.57866,0.51003,0.47328,0.31357,1.07493,0.83617,1.03309,0.000170692,0.000170692,0.000170692
23,451.064,1.04826,0.83483,1.03358,0.73368,0.43751,0.51554,0.33623,1.0681,0.82103,1.03313,0.000152344,0.000152344,0.000152344
24,469.879,1.04315,0.82665,1.03019,0.5147,0.53652,0.50489,0.33246,1.07057,0.81319,1.0293,0.000133996,0.000133996,0.000133996
25,488.361,1.04015,0.81669,1.02562,0.6116,0.5091,0.50201,0.33494,1.06295,0.81232,1.02303,0.000115648,0.000115648,0.000115648
26,507.073,1.03541,0.80928,1.02096,0.48073,0.52325,0.48299,0.33367,1.05288,0.80389,1.02441,9.73e-05,9.73e-05,9.73e-05
27,525.652,1.02728,0.79357,1.02145,0.47261,0.59559,0.52354,0.33576,1.06679,0.8044,1.0277,7.8952e-05,7.8952e-05,7.8952e-05
28,544.325,1.02342,0.79201,1.02346,0.62658,0.51816,0.52436,0.34816,1.05738,0.79932,1.02706,6.0604e-05,6.0604e-05,6.0604e-05
29,562.914,1.01642,0.78604,1.01964,0.61499,0.52661,0.52678,0.34473,1.05965,0.8005,1.02441,4.2256e-05,4.2256e-05,4.2256e-05
30,581.664,1.01374,0.77618,1.0161,0.6478,0.4928,0.53771,0.35677,1.06598,0.79948,1.02749,2.3908e-05,2.3908e-05,2.3908e-05
