epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5605,1.45877,1.85333,1.25175,0.6054,0.29469,0.26937,0.16812,1.19836,1.02791,1.08615,0.000184189,0.000184189,0.000184189
2,48.6819,1.21066,1.0719,1.09931,0.52473,0.34509,0.3365,0.22501,1.14881,0.94781,1.05923,0.00036495,0.00036495,0.00036495
3,71.7289,1.18559,1.01126,1.08994,0.46656,0.43803,0.39762,0.25565,1.18031,0.9157,1.07666,0.000541123,0.000541123,0.000541123
4,94.5091,1.15324,0.96926,1.07404,0.68387,0.33425,0.40127,0.2687,1.12063,0.90851,1.04812,0.000535358,0.000535358,0.000535358
5,117.399,1.14463,0.93456,1.07043,0.65268,0.42107,0.41668,0.27484,1.12022,0.87997,1.05382,0.000528478,0.000528478,0.000528478
6,140.209,1.13036,0.90965,1.06264,0.60912,0.45553,0.40141,0.26657,1.13281,0.88038,1.04792,0.000521598,0.000521598,0.000521598
7,162.838,1.11216,0.89426,1.05966,0.53812,0.45044,0.44296,0.29186,1.08743,0.84412,1.03905,0.000514717,0.000514717,0.000514717
8,185.047,1.10067,0.86795,1.05012,0.67131,0.40615,0.47748,0.32506,1.10007,0.86128,1.04911,0.000507836,0.000507836,0.000507836
9,207.456,1.0987,0.86299,1.05187,0.66631,0.48628,0.50095,0.33296,1.0966,0.82239,1.03747,0.000500956,0.000500956,0.000500956
10,230.026,1.08088,0.84545,1.04502,0.56916,0.51482,0.48946,0.33638,1.07482,0.81265,1.03781,0.000494075,0.000494075,0.000494075
11,252.328,1.07779,0.8353,1.04048,0.61386,0.46171,0.50518,0.3443,1.06968,0.79938,1.03167,0.000487195,0.000487195,0.000487195
12,274.675,1.07487,0.82737,1.04449,0.53458,0.49072,0.5266,0.33875,1.09201,0.81535,1.04328,0.000480314,0.000480314,0.000480314
13,296.932,1.06475,0.81761,1.03834,0.52215,0.59311,0.55495,0.36563,1.09177,0.80581,1.0426,0.000473434,0.000473434,0.000473434
14,319.553,1.05473,0.80547,1.03517,0.62899,0.58543,0.55117,0.36962,1.0634,0.7891,1.03437,0.000466553,0.000466553,0.000466553
15,342.306,1.05423,0.80354,1.02919,0.55491,0.54453,0.56273,0.38861,1.07152,0.78832,1.03089,0.000459673,0.000459673,0.000459673
16,364.936,1.04292,0.78831,1.02672,0.66047,0.46467,0.53799,0.37101,1.05118,0.78701,1.02759,0.000452792,0.000452792,0.000452792
17,387.141,1.03631,0.79196,1.0288,0.6969,0.43543,0.49593,0.34301,1.05405,0.80702,1.03239,0.000445912,0.000445912,0.000445912
18,409.505,1.03149,0.77924,1.02148,0.62969,0.46805,0.51296,0.36168,1.07539,0.80062,1.03043,0.000439031,0.000439031,0.000439031
19,431.906,1.02823,0.77416,1.02045,0.65215,0.50189,0.58324,0.39908,1.0435,0.78396,1.02862,0.000432151,0.000432151,0.000432151
20,454.141,1.02702,0.76902,1.02212,0.59149,0.57024,0.58838,0.39588,1.05463,0.76125,1.03105,0.00042527,0.00042527,0.00042527
21,476.567,1.02248,0.7608,1.01747,0.67003,0.52293,0.57876,0.38821,1.04749,0.76177,1.02809,0.00041839,0.00041839,0.00041839
22,498.598,1.01646,0.75019,1.01723,0.63177,0.55839,0.56751,0.39594,1.05238,0.77046,1.01925,0.00041151,0.00041151,0.00041151
23,521.009,1.00957,0.75137,1.01394,0.60084,0.591,0.57721,0.39874,1.04731,0.76272,1.02307,0.000404629,0.000404629,0.000404629
24,543.512,1.00192,0.73533,1.01018,0.54907,0.62615,0.57583,0.40198,1.05884,0.75833,1.03391,0.000397748,0.000397748,0.000397748
25,566.033,1.00648,0.73401,1.01361,0.57161,0.56349,0.53538,0.3743,1.05795,0.78124,1.0307,0.000390868,0.000390868,0.000390868
26,587.985,1.00146,0.7289,1.00996,0.62091,0.57222,0.58961,0.41408,1.03338,0.76379,1.02573,0.000383987,0.000383987,0.000383987
27,610.302,0.99348,0.72311,1.0081,0.70868,0.51068,0.55158,0.39147,1.04349,0.76433,1.02268,0.000377107,0.000377107,0.000377107
28,632.456,0.99157,0.71424,1.0045,0.59252,0.59922,0.57234,0.40754,1.04449,0.75835,1.02472,0.000370226,0.000370226,0.000370226
29,654.953,0.98067,0.70641,0.99998,0.51576,0.65965,0.58366,0.40091,1.04359,0.75453,1.02338,0.000363346,0.000363346,0.000363346
30,677.046,0.98658,0.71126,1.00221,0.52769,0.60191,0.57946,0.41283,1.0386,0.75271,1.02613,0.000356465,0.000356465,0.000356465
31,699.156,0.9721,0.69595,0.99567,0.63936,0.52345,0.57545,0.41142,1.06045,0.77186,1.03472,0.000349585,0.000349585,0.000349585
32,721.466,0.96858,0.68522,0.99378,0.58521,0.60181,0.57539,0.41357,1.02936,0.7486,1.02024,0.000342704,0.000342704,0.000342704
33,743.555,0.96087,0.68077,0.9937,0.59035,0.59047,0.57091,0.389,1.03878,0.76495,1.02645,0.000335824,0.000335824,0.000335824
34,765.496,0.96242,0.68261,0.99401,0.69021,0.55875,0.60457,0.40671,1.0468,0.75982,1.03195,0.000328944,0.000328944,0.000328944
35,787.981,0.96328,0.67162,0.98796,0.64281,0.56712,0.60416,0.4409,1.04035,0.76517,1.02562,0.000322063,0.000322063,0.000322063
36,810.185,0.95892,0.6744,0.9925,0.59017,0.59108,0.58653,0.41295,1.03248,0.7562,1.02182,0.000315183,0.000315183,0.000315183
37,832.218,0.95205,0.66829,0.98662,0.53,0.49745,0.52593,0.36161,1.04597,0.75934,1.02946,0.000308302,0.000308302,0.000308302
